id,full_name,first_name,last_name,is_active,person_id,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
1630173,Precious Achiuwa,Precious,Achiuwa,1,1630173.0,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,1999-09-19,Memphis,Nigeria,Memphis/Nigeria,"6,8",22.5,3.0,5,Forward,Active,1610612761.0,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020.0,2023.0,N,Y,Y,2020.0,1,20,N
101165,Alex Acker,Alex,Acker,0,101165.0,Alex Acker,"Acker, Alex",A. Acker,alex-acker,1983-01-21,Pepperdine,USA,Pepperdine/USA,"6,5",18.5,3.0,3,Guard,Inactive,1610612746.0,Clippers,LAC,clippers,Los Angeles,alex_acker,2005.0,2008.0,Y,Y,Y,2005.0,2,60,N
76008,Donald Ackerman,Donald,Ackerman,0,76008.0,Donald Ackerman,"Ackerman, Donald",D. Ackerman,donald-ackerman,1930-09-04,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,"6,0",18.3,1.0,Desconocido,Guard,Inactive,1610612752.0,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953.0,1953.0,N,Y,Y,1953.0,2,Desconocido,N
76009,Mark Acres,Mark,Acres,0,76009.0,Mark Acres,"Acres, Mark",M. Acres,mark-acres,1962-11-15,Oral Roberts,USA,Oral Roberts/USA,"6,11",22.0,6.0,42,Center,Inactive,1610612753.0,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987.0,1992.0,N,Y,Y,1985.0,2,40,N
76010,Charles Acton,Charles,Acton,0,76010.0,Charles Acton,"Acton, Charles",C. Acton,charles-acton,1942-01-11,Hillsdale,USA,Hillsdale/USA,"6,6",21.0,1.0,24,Forward,Inactive,1610612745.0,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967.0,1967.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
203112,Quincy Acy,Quincy,Acy,0,203112.0,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,1990-10-06,Baylor,USA,Baylor/USA,"6,7",24.0,7.0,Desconocido,Forward,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,quincy_acy,2012.0,2018.0,Y,Y,Y,2012.0,2,37,N
76011,Alvan Adams,Alvan,Adams,0,76011.0,Alvan Adams,"Adams, Alvan",A. Adams,alvan-adams,1954-07-19,Oklahoma,USA,Oklahoma/USA,"6,9",21.0,13.0,33,Center,Inactive,1610612756.0,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975.0,1987.0,N,Y,Y,1975.0,1,4,N
76012,Don Adams,Don,Adams,0,76012.0,Don Adams,"Adams, Don",D. Adams,don-adams,1947-11-27,Northwestern,USA,Northwestern/USA,"6,7",21.0,7.0,10,Forward,Inactive,1610612765.0,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970.0,1976.0,N,Y,Y,1970.0,8,120,N
200801,Hassan Adams,Hassan,Adams,0,200801.0,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,1984-06-20,Arizona,USA,Arizona/USA,"6,4",22.0,2.0,Desconocido,Forward,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,hassan_adams,2006.0,2008.0,N,Y,Y,2006.0,2,54,N
1629121,Jaylen Adams,Jaylen,Adams,0,1629121.0,Jaylen Adams,"Adams, Jaylen",J. Adams,jaylen-adams,1996-05-04,St. Bonaventure,USA,St. Bonaventure/USA,"6,0",22.5,3.0,Desconocido,Guard,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,jaylen_adams,2018.0,2020.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
203919,Jordan Adams,Jordan,Adams,0,203919.0,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,1994-07-08,UCLA,USA,UCLA/USA,"6,5",20.9,3.0,3,Guard,Inactive,1610612763.0,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,Y,Y,Y,2014.0,1,22,N
149,Michael Adams,Michael,Adams,0,149.0,Michael Adams,"Adams, Michael",M. Adams,michael-adams,1963-01-19,Boston College,USA,Boston College/USA,"5,10",16.5,11.0,23,Guard,Inactive,1610612743.0,Nuggets,DEN,nuggets,Denver,michael_adams,1985.0,1995.0,N,Y,Y,1985.0,3,66,N
203500,Steven Adams,Steven,Adams,1,203500.0,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20,Pittsburgh,New Zealand,Pittsburgh/New Zealand,"6,11",26.5,10.0,4,Center,Active,1610612763.0,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013.0,2023.0,N,Y,Y,2013.0,1,12,N
912,Rafael Addison,Rafael,Addison,0,912.0,Rafael Addison,"Addison, Rafael",R. Addison,rafael-addison,1964-07-22,Syracuse,USA,Syracuse/USA,"6,8",24.1,6.0,7,Forward,Inactive,1610612751.0,Nets,NJN,nets,New Jersey,rafael_addison,1986.0,1996.0,N,Y,Y,1986.0,2,39,N
1628389,Bam Adebayo,Bam,Adebayo,1,1628389.0,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18,Kentucky,USA,Kentucky/USA,"6,9",25.5,6.0,13,Center-Forward,Active,1610612748.0,Heat,MIA,heat,Miami,bam_adebayo,2017.0,2023.0,N,Y,Y,2017.0,1,14,N
1629061,Deng Adel,Deng,Adel,0,1629061.0,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1997-02-01,Louisville,South Sudan,Louisville/South Sudan,"6,7",20.0,2.0,32,Forward,Inactive,1610612739.0,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018.0,2018.0,Y,Y,Y,2018.0,Desconocido,Desconocido,N
76015,Rick Adelman,Rick,Adelman,0,76015.0,Rick Adelman,"Adelman, Rick",R. Adelman,rick-adelman,1946-06-16,Loyola-Marymount,USA,Loyola-Marymount/USA,"6,2",17.5,7.0,5,Guard,Inactive,1610612757.0,Trail Blazers,POR,blazers,Portland,HISTADD_rick_adelman,1968.0,1974.0,N,Y,Y,1968.0,7,79,N
202399,Jeff Adrien,Jeff,Adrien,0,202399.0,Jeff Adrien,"Adrien, Jeff",J. Adrien,jeff-adrien,1986-02-10,Connecticut,USA,Connecticut/USA,,21.0,6.0,Desconocido,Desconocido,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,jeff_adrien,2010.0,2014.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
201167,Arron Afflalo,Arron,Afflalo,0,201167.0,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,1985-10-15,UCLA,USA,UCLA/USA,"6,5",21.0,12.0,4,Guard,Inactive,1610612743.0,Nuggets,DEN,nuggets,Denver,arron_afflalo,2007.0,2017.0,N,Y,Y,2007.0,1,27,N
1630534,Ochai Agbaji,Ochai,Agbaji,1,1630534.0,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,2000-04-20,Kansas,USA,Kansas/USA,"6,5",21.5,1.0,30,Guard,Active,1610612762.0,Jazz,UTA,jazz,Utah,ochai_agbaji,2022.0,2023.0,Y,Y,Y,2022.0,1,14,N
200772,Maurice Ager,Maurice,Ager,0,200772.0,Maurice Ager,"Ager, Maurice",M. Ager,maurice-ager,1984-02-09,Michigan State,USA,Michigan State/USA,"6,5",20.2,4.0,Desconocido,Forward-Guard,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,maurice_ager,2006.0,2010.0,Y,Y,Y,2006.0,1,28,N
76016,Mark Aguirre,Mark,Aguirre,0,76016.0,Mark Aguirre,"Aguirre, Mark",M. Aguirre,mark-aguirre,1959-12-10,DePaul,USA,DePaul/USA,"6,6",23.2,13.0,7,Forward,Inactive,1610612742.0,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981.0,1993.0,N,Y,Y,1981.0,1,1,N
201336,Blake Ahearn,Blake,Ahearn,0,201336.0,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27,Missouri State,USA,Missouri State/USA,"6,2",19.0,4.0,2,Guard,Inactive,1610612748.0,Heat,MIA,heat,Miami,blake_ahearn,2007.0,2011.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
76017,Danny Ainge,Danny,Ainge,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201582,Alexis Ajinca,Alexis,Ajinca,0,201582.0,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,alexis-ajinca,1988-05-06,Hyeres-Toulon,France,Hyeres-Toulon/France,"7,2",24.8,8.0,42,Center,Inactive,1610612740.0,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008.0,2017.0,Y,Y,Y,2008.0,1,20,N
76018,Henry Akin,Henry,Akin,0,76018.0,Henry Akin,"Akin, Henry",H. Akin,henry-akin,1944-07-31,Morehead State,USA,Morehead State/USA,"6,10",22.5,2.0,10,Center,Inactive,1610612752.0,Knicks,NYK,knicks,New York,HISTADD_henry_akin,1966.0,1967.0,N,Y,Y,1966.0,2,11,N
203006,Josh Akognon,Josh,Akognon,0,203006.0,Josh Akognon,"Akognon, Josh",J. Akognon,josh-akognon,1986-02-10,California State-Fullerton,USA,California State-Fullerton/USA,"5,11",18.5,2.0,10,Guard,Inactive,1610612742.0,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012.0,2012.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,0,1629152.0,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,devaughn-akoon-purcell,1993-06-05,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,"6,6",20.0,2.0,Desconocido,Guard-Forward,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,devaughn_akoon-purcell,2018.0,2018.0,Y,Y,Y,2016.0,Desconocido,Desconocido,N
202374,Solomon Alabi,Solomon,Alabi,0,202374.0,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,1988-03-21,Florida State,Nigeria,Florida State/Nigeria,"7,1",25.2,3.0,50,Center,Inactive,1610612761.0,Raptors,TOR,raptors,Toronto,solomon_alabi,2010.0,2011.0,Y,Y,Y,2010.0,2,50,N
76019,Mark Alarie,Mark,Alarie,0,76019.0,Mark Alarie,"Alarie, Mark",M. Alarie,mark-alarie,1963-12-11,Duke,USA,Duke/USA,"6,8",21.7,5.0,31,Forward,Inactive,1610612764.0,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986.0,1990.0,N,Y,Y,1986.0,1,18,N
76020,Gary Alcorn,Gary,Alcorn,0,76020.0,Gary Alcorn,"Alcorn, Gary",G. Alcorn,gary-alcorn,1936-10-08,Fresno State,USA,Fresno State/USA,"6,9",22.5,2.0,24,Center,Inactive,1610612765.0,Pistons,DET,pistons,Detroit,HISTADD_gary_alcorn,1959.0,1960.0,N,Y,Y,1959.0,3,16,N
1630583,Santi Aldama,Santi,Aldama,1,1630583.0,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,2001-01-10,Loyola-Maryland,Spain,Loyola-Maryland/Spain,"7,0",21.5,2.0,7,Forward-Center,Active,1610612763.0,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021.0,2023.0,Y,Y,Y,2021.0,1,30,N
203128,Furkan Aldemir,Furkan,Aldemir,0,203128.0,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,1991-08-09,Galatasaray,Turkey,Galatasaray/Turkey,"6,10",24.0,2.0,19,Forward-Center,Inactive,1610612755.0,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014.0,2014.0,N,Y,Y,2012.0,2,53,N
202332,Cole Aldrich,Cole,Aldrich,0,202332.0,Cole Aldrich,"Aldrich, Cole",C. Aldrich,cole-aldrich,1988-10-31,Kansas,USA,Kansas/USA,"6,11",25.3,9.0,45,Center,Inactive,1610612752.0,Knicks,NYK,knicks,New York,cole_aldrich,2010.0,2017.0,Y,Y,Y,2010.0,1,11,N
200746,LaMarcus Aldridge,LaMarcus,Aldridge,0,200746.0,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19,University of Texas at Austin,USA,Texas-Austin/USA,"6,11",25.0,17.0,21,Center-Forward,Inactive,1610612751.0,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006.0,2021.0,N,Y,Y,2006.0,1,2,N
76021,Chuck Aleksinas,Chuck,Aleksinas,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626146,Cliff Alexander,Cliff,Alexander,0,1626146.0,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,1995-11-16,Kansas,USA,Kansas/USA,"6,8",24.0,2.0,34,Forward,Inactive,1610612757.0,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015.0,2015.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
724,Cory Alexander,Cory,Alexander,0,724.0,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,1973-06-22,Virginia,USA,Virginia/USA,"6,1",19.0,8.0,12,Guard,Inactive,1610612759.0,Spurs,SAS,spurs,San Antonio,cory_alexander,1995.0,2004.0,N,Y,Y,1995.0,1,29,N
2042,Courtney Alexander,Courtney,Alexander,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76022,Gary Alexander,Gary,Alexander,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201570,Joe Alexander,Joe,Alexander,0,201570.0,Joe Alexander,"Alexander, Joe",J. Alexander,joe-alexander,1986-12-26,West Virginia,USA,West Virginia/USA,"6,8",23.0,3.0,20,Forward,Inactive,1610612749.0,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008.0,2009.0,Y,Y,Y,2008.0,1,8,N
1629734,Kyle Alexander,Kyle,Alexander,0,1629734.0,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21,Tennessee,Canada,Tennessee/Canada,"6,10",21.6,2.0,17,Forward-Center,Inactive,1610612748.0,Heat,MIA,heat,Miami,kyle_alexander,2019.0,2019.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
1630234,Ty-Shon Alexander,Ty-Shon,Alexander,0,1630234.0,Ty-Shon Alexander,"Alexander, Ty-Shon",T. Alexander,ty-shon-alexander,1998-07-16,Creighton,USA,Creighton/USA,"6,3",19.5,2.0,0,Guard,Inactive,1610612756.0,Suns,PHX,suns,Phoenix,ty-shon_alexander,2020.0,2020.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
2349,Victor Alexander,Victor,Alexander,0,2349.0,Victor Alexander,"Alexander, Victor",V. Alexander,victor-alexander,1969-08-31,Iowa State,USA,Iowa State/USA,"6,10",26.5,5.0,9,Forward,Inactive,1610612744.0,Warriors,GOS,warriors,Golden State,victor_alexander,1991.0,2001.0,N,Y,Y,1991.0,1,17,N
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1,1629638.0,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02,Virginia Tech,Canada,Virginia Tech/Canada,"6,5",20.5,4.0,9,Guard,Active,1610612750.0,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019.0,2023.0,Y,Y,Y,2019.0,1,17,N
76024,Steve Alford,Steve,Alford,0,76024.0,Steve Alford,"Alford, Steve",S. Alford,steve-alford,1964-11-23,Indiana,USA,Indiana/USA,"6,2",18.3,4.0,4,Guard,Inactive,1610612742.0,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987.0,1990.0,N,Y,Y,1987.0,2,26,N
1628959,Rawle Alkins,Rawle,Alkins,0,1628959.0,Rawle Alkins,"Alkins, Rawle",R. Alkins,rawle-alkins,1997-10-29,Arizona,USA,Arizona/USA,"6,5",22.5,2.0,20,Guard,Inactive,1610612741.0,Bulls,CHI,bulls,Chicago,rawle_alkins,2018.0,2018.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
76028,Bob Allen,Bob,Allen,0,76028.0,Bob Allen,"Allen, Bob",B. Allen,bob-allen,1946-07-17,Marshall,USA,Marshall/USA,"6,9",20.5,1.0,50,Forward,Inactive,1610612744.0,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968.0,1968.0,N,Y,Y,1968.0,6,71,N
1628960,Grayson Allen,Grayson,Allen,1,1628960.0,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08,Duke,USA,Duke/USA,"6,4",19.8,5.0,12,Guard,Active,1610612749.0,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018.0,2023.0,Y,Y,Y,2018.0,1,21,N
1628386,Jarrett Allen,Jarrett,Allen,1,1628386.0,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21,Texas,USA,Texas/USA,"6,9",24.3,6.0,31,Center,Active,1610612739.0,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017.0,2023.0,N,Y,Y,2017.0,1,22,N
706,Jerome Allen,Jerome,Allen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628443,Kadeem Allen,Kadeem,Allen,0,1628443.0,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15,Arizona,USA,Arizona/USA,"6,1",20.0,3.0,Desconocido,Guard,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,kadeem_allen,2017.0,2019.0,Y,Y,Y,2017.0,2,53,N
202730,Lavoy Allen,Lavoy,Allen,0,202730.0,Lavoy Allen,"Allen, Lavoy",L. Allen,lavoy-allen,1989-02-04,Temple,USA,Temple/USA,"6,9",26.0,7.0,5,Forward-Center,Inactive,1610612754.0,Pacers,IND,pacers,Indiana,lavoy_allen,2011.0,2016.0,Y,Y,Y,2011.0,2,50,N
76027,Lucius Allen,Lucius,Allen,0,76027.0,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,1947-09-26,UCLA,USA,UCLA/USA,"6,2",17.5,10.0,42,Guard,Inactive,1610612749.0,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969.0,1978.0,N,Y,Y,1969.0,1,3,N
2124,Malik Allen,Malik,Allen,0,2124.0,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27,Villanova,USA,Villanova/USA,"6,10",25.5,11.0,35,Forward,Inactive,1610612748.0,Heat,MIA,heat,Miami,malik_allen,2001.0,2010.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
76025,Randy Allen,Randy,Allen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Ray Allen,Ray,Allen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,Tony Allen,Tony,Allen,0,2754.0,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11,Oklahoma State,USA,Oklahoma State/USA,"6,4",21.3,14.0,Desconocido,Guard-Forward,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,tony_allen,2004.0,2017.0,N,Y,Y,2004.0,1,25,N
76029,Odis Allison,Odis,Allison,0,76029.0,Odis Allison,"Allison, Odis",O. Allison,odis-allison,1949-10-02,UNLV,USA,UNLV/USA,"6,6",19.5,1.0,22,Forward,Inactive,1610612744.0,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971.0,1971.0,N,Y,Y,1971.0,5,76,N
200984,Lance Allred,Lance,Allred,0,200984.0,Lance Allred,"Allred, Lance",L. Allred,lance-allred,1981-02-02,Weber State,USA,Weber State/USA,"6,11",25.0,2.0,41,Center,Inactive,1610612739.0,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007.0,2007.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
76030,Darrell Allums,Darrell,Allums,0,76030.0,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,1958-09-12,UCLA,USA,UCLA/USA,"6,8",22.0,1.0,32,Forward,Inactive,1610612742.0,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980.0,1980.0,N,Y,Y,1980.0,5,103,N
201165,Morris Almond,Morris,Almond,0,201165.0,Morris Almond,"Almond, Morris",M. Almond,morris-almond,1985-02-02,Rice,USA,Rice/USA,"6,6",22.5,4.0,21,Guard,Inactive,1610612762.0,Jazz,UTA,jazz,Utah,morris_almond,2007.0,2011.0,Y,Y,Y,2007.0,1,25,N
308,Derrick Alston,Derrick,Alston,0,308.0,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,1972-08-20,Duquesne,USA,Duquesne/USA,"6,11",22.5,3.0,Desconocido,Center,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,derrick_alston,1994.0,1996.0,N,Y,Y,1994.0,2,33,N
1747,Rafer Alston,Rafer,Alston,0,1747.0,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24,Fresno State,USA,Fresno State/USA,"6,2",17.5,11.0,11,Guard,Inactive,1610612745.0,Rockets,HOU,rockets,Houston,rafer_alston,1999.0,2009.0,Y,Y,Y,1998.0,2,39,N
1824,Peter Aluma,Peter,Aluma,0,1824.0,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,1973-04-26,Liberty,USA,Liberty/USA,"6,10",26.0,1.0,Desconocido,Center,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,peter_aluma,1998.0,1998.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
1630631,Jose Alvarado,Jose,Alvarado,1,1630631.0,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,1998-04-12,Georgia Tech,USA,Georgia Tech/USA,"6,0",17.9,2.0,15,Guard,Active,1610612740.0,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021.0,2023.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
680,John Amaechi,John,Amaechi,0,680.0,John Amaechi,"Amaechi, John",J. Amaechi,john-amaechi,1970-11-26,Penn State,United Kingdom,Penn State/United Kingdom,"6,10",27.0,6.0,13,Forward-Center,Inactive,1610612753.0,Magic,ORL,magic,Orlando,john_amaechi,1995.0,2002.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
732,Ashraf Amaya,Ashraf,Amaya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202329,Al-Farouq Aminu,Al-Farouq,Aminu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200811,Lou Amundson,Lou,Amundson,0,200811.0,Lou Amundson,"Amundson, Lou",L. Amundson,lou-amundson,1982-12-07,UNLV,USA,UNLV/USA,"6,9",22.0,11.0,17,Forward,Inactive,1610612756.0,Suns,PHX,suns,Phoenix,lou_amundson,2006.0,2015.0,Y,Y,Y,1988.0,Undrafted,Undrafted,N
76034,Bob Anderegg,Bob,Anderegg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,Chris Andersen,Chris,Andersen,0,2365.0,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07,Blinn J.C.,USA,Blinn J.C./USA,"6,10",24.5,15.0,Desconocido,Forward-Center,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,chris_andersen,2001.0,2016.0,N,Y,Y,1988.0,Undrafted,Undrafted,N
2431,David Andersen,David,Andersen,0,2431.0,David Andersen,"Andersen, David",D. Andersen,david-andersen,1980-06-23,FC Barcelona,Australia,FC Barcelona/Australia,,21.0,20.0,Desconocido,Desconocido,Inactive,0.0,Desconocido,Desconocido,Desconocido,Desconocido,david_andersen,2009.0,2017.0,N,Y,Y,2002.0,2,36,N
