full_name,first_name,last_name,is_active,person_id,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
Donald Ackerman,Donald,Ackerman,0,76008,1930-09-04,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,"6,0",18.3,1,Desconocido,Guard,Inactive,1610612752,Knicks,NYK,New York,1953,1953,N,Y,Y,1953,2,Desconocido,N
Mark Acres,Mark,Acres,0,76009,1962-11-15,Oral Roberts,USA,Oral Roberts/USA,"6,11",22.0,6,42,Center,Inactive,1610612753,Magic,ORL,Orlando,1987,1992,N,Y,Y,1985,2,40,N
Charles Acton,Charles,Acton,0,76010,1942-01-11,Hillsdale,USA,Hillsdale/USA,"6,6",21.0,1,24,Forward,Inactive,1610612745,Rockets,SDR,San Diego,1967,1967,N,Y,Y,1988,Undrafted,Undrafted,N
Quincy Acy,Quincy,Acy,0,203112,1990-10-06,Baylor,USA,Baylor/USA,"6,7",24.0,7,Desconocido,Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2012,2018,Y,Y,Y,2012,2,37,N
Alvan Adams,Alvan,Adams,0,76011,1954-07-19,Oklahoma,USA,Oklahoma/USA,"6,9",21.0,13,33,Center,Inactive,1610612756,Suns,PHX,Phoenix,1975,1987,N,Y,Y,1975,1,4,N
Don Adams,Don,Adams,0,76012,1947-11-27,Northwestern,USA,Northwestern/USA,"6,7",21.0,7,10,Forward,Inactive,1610612765,Pistons,DET,Detroit,1970,1976,N,Y,Y,1970,8,120,N
Hassan Adams,Hassan,Adams,0,200801,1984-06-20,Arizona,USA,Arizona/USA,"6,4",22.0,2,Desconocido,Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2006,2008,N,Y,Y,2006,2,54,N
Jaylen Adams,Jaylen,Adams,0,1629121,1996-05-04,St. Bonaventure,USA,St. Bonaventure/USA,"6,0",22.5,3,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2018,2020,Y,Y,Y,1988,Undrafted,Undrafted,N
Jordan Adams,Jordan,Adams,0,203919,1994-07-08,UCLA,USA,UCLA/USA,"6,5",20.9,3,3,Guard,Inactive,1610612763,Grizzlies,MEM,Memphis,2014,2015,Y,Y,Y,2014,1,22,N
Michael Adams,Michael,Adams,0,149,1963-01-19,Boston College,USA,Boston College/USA,"5,10",16.5,11,23,Guard,Inactive,1610612743,Nuggets,DEN,Denver,1985,1995,N,Y,Y,1985,3,66,N
Steven Adams,Steven,Adams,1,203500,1993-07-20,Pittsburgh,New Zealand,Pittsburgh/New Zealand,"6,11",26.5,10,4,Center,Active,1610612763,Grizzlies,MEM,Memphis,2013,2023,N,Y,Y,2013,1,12,N
Rafael Addison,Rafael,Addison,0,912,1964-07-22,Syracuse,USA,Syracuse/USA,"6,8",24.1,6,7,Forward,Inactive,1610612751,Nets,NJN,New Jersey,1986,1996,N,Y,Y,1986,2,39,N
Bam Adebayo,Bam,Adebayo,1,1628389,1997-07-18,Kentucky,USA,Kentucky/USA,"6,9",25.5,6,13,Center-Forward,Active,1610612748,Heat,MIA,Miami,2017,2023,N,Y,Y,2017,1,14,N
Deng Adel,Deng,Adel,0,1629061,1997-02-01,Louisville,South Sudan,Louisville/South Sudan,"6,7",20.0,2,32,Forward,Inactive,1610612739,Cavaliers,CLE,Cleveland,2018,2018,Y,Y,Y,2018,Desconocido,Desconocido,N
Rick Adelman,Rick,Adelman,0,76015,1946-06-16,Loyola-Marymount,USA,Loyola-Marymount/USA,"6,2",17.5,7,5,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,1968,1974,N,Y,Y,1968,7,79,N
Jeff Adrien,Jeff,Adrien,0,202399,1986-02-10,Connecticut,USA,Connecticut/USA,Desconocido,21.0,6,Desconocido,Desconocido,Inactive,0,Desconocido,Desconocido,Desconocido,2010,2014,Y,Y,Y,1988,Undrafted,Undrafted,N
Arron Afflalo,Arron,Afflalo,0,201167,1985-10-15,UCLA,USA,UCLA/USA,"6,5",21.0,12,4,Guard,Inactive,1610612743,Nuggets,DEN,Denver,2007,2017,N,Y,Y,2007,1,27,N
Ochai Agbaji,Ochai,Agbaji,1,1630534,2000-04-20,Kansas,USA,Kansas/USA,"6,5",21.5,1,30,Guard,Active,1610612762,Jazz,UTA,Utah,2022,2023,Y,Y,Y,2022,1,14,N
Maurice Ager,Maurice,Ager,0,200772,1984-02-09,Michigan State,USA,Michigan State/USA,"6,5",20.2,4,Desconocido,Forward-Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2006,2010,Y,Y,Y,2006,1,28,N
Mark Aguirre,Mark,Aguirre,0,76016,1959-12-10,DePaul,USA,DePaul/USA,"6,6",23.2,13,7,Forward,Inactive,1610612742,Mavericks,DAL,Dallas,1981,1993,N,Y,Y,1981,1,1,N
Blake Ahearn,Blake,Ahearn,0,201336,1984-05-27,Missouri State,USA,Missouri State/USA,"6,2",19.0,4,2,Guard,Inactive,1610612748,Heat,MIA,Miami,2007,2011,Y,Y,Y,1988,Undrafted,Undrafted,N
Alexis Ajinca,Alexis,Ajinca,0,201582,1988-05-06,Hyeres-Toulon,France,Hyeres-Toulon/France,"7,2",24.8,8,42,Center,Inactive,1610612740,Pelicans,NOP,New Orleans,2008,2017,Y,Y,Y,2008,1,20,N
Henry Akin,Henry,Akin,0,76018,1944-07-31,Morehead State,USA,Morehead State/USA,"6,10",22.5,2,10,Center,Inactive,1610612752,Knicks,NYK,New York,1966,1967,N,Y,Y,1966,2,11,N
Josh Akognon,Josh,Akognon,0,203006,1986-02-10,California State-Fullerton,USA,California State-Fullerton/USA,"5,11",18.5,2,10,Guard,Inactive,1610612742,Mavericks,DAL,Dallas,2012,2012,Y,Y,Y,1988,Undrafted,Undrafted,N
DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,0,1629152,1993-06-05,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,"6,6",20.0,2,Desconocido,Guard-Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2018,2018,Y,Y,Y,2016,Desconocido,Desconocido,N
Solomon Alabi,Solomon,Alabi,0,202374,1988-03-21,Florida State,Nigeria,Florida State/Nigeria,"7,1",25.2,3,50,Center,Inactive,1610612761,Raptors,TOR,Toronto,2010,2011,Y,Y,Y,2010,2,50,N
Mark Alarie,Mark,Alarie,0,76019,1963-12-11,Duke,USA,Duke/USA,"6,8",21.7,5,31,Forward,Inactive,1610612764,Bullets,WAS,Washington,1986,1990,N,Y,Y,1986,1,18,N
Gary Alcorn,Gary,Alcorn,0,76020,1936-10-08,Fresno State,USA,Fresno State/USA,"6,9",22.5,2,24,Center,Inactive,1610612765,Pistons,DET,Detroit,1959,1960,N,Y,Y,1959,3,16,N
Santi Aldama,Santi,Aldama,1,1630583,2001-01-10,Loyola-Maryland,Spain,Loyola-Maryland/Spain,"7,0",21.5,2,7,Forward-Center,Active,1610612763,Grizzlies,MEM,Memphis,2021,2023,Y,Y,Y,2021,1,30,N
Furkan Aldemir,Furkan,Aldemir,0,203128,1991-08-09,Galatasaray,Turkey,Galatasaray/Turkey,"6,10",24.0,2,19,Forward-Center,Inactive,1610612755,76ers,PHI,Philadelphia,2014,2014,N,Y,Y,2012,2,53,N
Cole Aldrich,Cole,Aldrich,0,202332,1988-10-31,Kansas,USA,Kansas/USA,"6,11",25.3,9,45,Center,Inactive,1610612752,Knicks,NYK,New York,2010,2017,Y,Y,Y,2010,1,11,N
LaMarcus Aldridge,LaMarcus,Aldridge,0,200746,1985-07-19,University of Texas at Austin,USA,Texas-Austin/USA,"6,11",25.0,17,21,Center-Forward,Inactive,1610612751,Nets,BKN,Brooklyn,2006,2021,N,Y,Y,2006,1,2,N
Cliff Alexander,Cliff,Alexander,0,1626146,1995-11-16,Kansas,USA,Kansas/USA,"6,8",24.0,2,34,Forward,Inactive,1610612757,Trail Blazers,POR,Portland,2015,2015,Y,Y,Y,1988,Undrafted,Undrafted,N
Cory Alexander,Cory,Alexander,0,724,1973-06-22,Virginia,USA,Virginia/USA,"6,1",19.0,8,12,Guard,Inactive,1610612759,Spurs,SAS,San Antonio,1995,2004,N,Y,Y,1995,1,29,N
Joe Alexander,Joe,Alexander,0,201570,1986-12-26,West Virginia,USA,West Virginia/USA,"6,8",23.0,3,20,Forward,Inactive,1610612749,Bucks,MIL,Milwaukee,2008,2009,Y,Y,Y,2008,1,8,N
Kyle Alexander,Kyle,Alexander,0,1629734,1996-10-21,Tennessee,Canada,Tennessee/Canada,"6,10",21.6,2,17,Forward-Center,Inactive,1610612748,Heat,MIA,Miami,2019,2019,Y,Y,Y,1988,Undrafted,Undrafted,N
Ty-Shon Alexander,Ty-Shon,Alexander,0,1630234,1998-07-16,Creighton,USA,Creighton/USA,"6,3",19.5,2,0,Guard,Inactive,1610612756,Suns,PHX,Phoenix,2020,2020,Y,Y,Y,1988,Undrafted,Undrafted,N
Victor Alexander,Victor,Alexander,0,2349,1969-08-31,Iowa State,USA,Iowa State/USA,"6,10",26.5,5,9,Forward,Inactive,1610612744,Warriors,GOS,Golden State,1991,2001,N,Y,Y,1991,1,17,N
Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1,1629638,1998-09-02,Virginia Tech,Canada,Virginia Tech/Canada,"6,5",20.5,4,9,Guard,Active,1610612750,Timberwolves,MIN,Minnesota,2019,2023,Y,Y,Y,2019,1,17,N
Steve Alford,Steve,Alford,0,76024,1964-11-23,Indiana,USA,Indiana/USA,"6,2",18.3,4,4,Guard,Inactive,1610612742,Mavericks,DAL,Dallas,1987,1990,N,Y,Y,1987,2,26,N
Rawle Alkins,Rawle,Alkins,0,1628959,1997-10-29,Arizona,USA,Arizona/USA,"6,5",22.5,2,20,Guard,Inactive,1610612741,Bulls,CHI,Chicago,2018,2018,Y,Y,Y,1988,Undrafted,Undrafted,N
Bob Allen,Bob,Allen,0,76028,1946-07-17,Marshall,USA,Marshall/USA,"6,9",20.5,1,50,Forward,Inactive,1610612744,Warriors,SFW,San Francisco,1968,1968,N,Y,Y,1968,6,71,N
Grayson Allen,Grayson,Allen,1,1628960,1995-10-08,Duke,USA,Duke/USA,"6,4",19.8,5,12,Guard,Active,1610612749,Bucks,MIL,Milwaukee,2018,2023,Y,Y,Y,2018,1,21,N
Jarrett Allen,Jarrett,Allen,1,1628386,1998-04-21,Texas,USA,Texas/USA,"6,9",24.3,6,31,Center,Active,1610612739,Cavaliers,CLE,Cleveland,2017,2023,N,Y,Y,2017,1,22,N
Kadeem Allen,Kadeem,Allen,0,1628443,1993-01-15,Arizona,USA,Arizona/USA,"6,1",20.0,3,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2017,2019,Y,Y,Y,2017,2,53,N
Lavoy Allen,Lavoy,Allen,0,202730,1989-02-04,Temple,USA,Temple/USA,"6,9",26.0,7,5,Forward-Center,Inactive,1610612754,Pacers,IND,Indiana,2011,2016,Y,Y,Y,2011,2,50,N
Lucius Allen,Lucius,Allen,0,76027,1947-09-26,UCLA,USA,UCLA/USA,"6,2",17.5,10,42,Guard,Inactive,1610612749,Bucks,MIL,Milwaukee,1969,1978,N,Y,Y,1969,1,3,N
Malik Allen,Malik,Allen,0,2124,1978-06-27,Villanova,USA,Villanova/USA,"6,10",25.5,11,35,Forward,Inactive,1610612748,Heat,MIA,Miami,2001,2010,N,Y,Y,1988,Undrafted,Undrafted,N
Tony Allen,Tony,Allen,0,2754,1982-01-11,Oklahoma State,USA,Oklahoma State/USA,"6,4",21.3,14,Desconocido,Guard-Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2004,2017,N,Y,Y,2004,1,25,N
Odis Allison,Odis,Allison,0,76029,1949-10-02,UNLV,USA,UNLV/USA,"6,6",19.5,1,22,Forward,Inactive,1610612744,Warriors,GOS,Golden State,1971,1971,N,Y,Y,1971,5,76,N
Lance Allred,Lance,Allred,0,200984,1981-02-02,Weber State,USA,Weber State/USA,"6,11",25.0,2,41,Center,Inactive,1610612739,Cavaliers,CLE,Cleveland,2007,2007,Y,Y,Y,1988,Undrafted,Undrafted,N
Darrell Allums,Darrell,Allums,0,76030,1958-09-12,UCLA,USA,UCLA/USA,"6,8",22.0,1,32,Forward,Inactive,1610612742,Mavericks,DAL,Dallas,1980,1980,N,Y,Y,1980,5,103,N
Morris Almond,Morris,Almond,0,201165,1985-02-02,Rice,USA,Rice/USA,"6,6",22.5,4,21,Guard,Inactive,1610612762,Jazz,UTA,Utah,2007,2011,Y,Y,Y,2007,1,25,N
Derrick Alston,Derrick,Alston,0,308,1972-08-20,Duquesne,USA,Duquesne/USA,"6,11",22.5,3,Desconocido,Center,Inactive,0,Desconocido,Desconocido,Desconocido,1994,1996,N,Y,Y,1994,2,33,N
Rafer Alston,Rafer,Alston,0,1747,1976-07-24,Fresno State,USA,Fresno State/USA,"6,2",17.5,11,11,Guard,Inactive,1610612745,Rockets,HOU,Houston,1999,2009,Y,Y,Y,1998,2,39,N
Peter Aluma,Peter,Aluma,0,1824,1973-04-26,Liberty,USA,Liberty/USA,"6,10",26.0,1,Desconocido,Center,Inactive,0,Desconocido,Desconocido,Desconocido,1998,1998,N,Y,Y,1988,Undrafted,Undrafted,N
Jose Alvarado,Jose,Alvarado,1,1630631,1998-04-12,Georgia Tech,USA,Georgia Tech/USA,"6,0",17.9,2,15,Guard,Active,1610612740,Pelicans,NOP,New Orleans,2021,2023,Y,Y,Y,1988,Undrafted,Undrafted,N
John Amaechi,John,Amaechi,0,680,1970-11-26,Penn State,United Kingdom,Penn State/United Kingdom,"6,10",27.0,6,13,Forward-Center,Inactive,1610612753,Magic,ORL,Orlando,1995,2002,N,Y,Y,1988,Undrafted,Undrafted,N
Lou Amundson,Lou,Amundson,0,200811,1982-12-07,UNLV,USA,UNLV/USA,"6,9",22.0,11,17,Forward,Inactive,1610612756,Suns,PHX,Phoenix,2006,2015,Y,Y,Y,1988,Undrafted,Undrafted,N
Chris Andersen,Chris,Andersen,0,2365,1978-07-07,Blinn J.C.,USA,Blinn J.C./USA,"6,10",24.5,15,Desconocido,Forward-Center,Inactive,0,Desconocido,Desconocido,Desconocido,2001,2016,N,Y,Y,1988,Undrafted,Undrafted,N
David Andersen,David,Andersen,0,2431,1980-06-23,FC Barcelona,Australia,FC Barcelona/Australia,Desconocido,21.0,20,Desconocido,Desconocido,Inactive,0,Desconocido,Desconocido,Desconocido,2009,2017,N,Y,Y,2002,2,36,N
Alan Anderson,Alan,Anderson,0,101187,1982-10-16,Michigan State,USA,Michigan State/USA,"6,6",22.0,9,9,Forward-Guard,Inactive,1610612751,Nets,BKN,Brooklyn,2005,2016,Y,Y,Y,1988,Undrafted,Undrafted,N
Antonio Anderson,Antonio,Anderson,0,202079,1985-06-05,Memphis,USA,Memphis/USA,"6,6",21.5,2,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2009,2009,Y,Y,Y,1988,Undrafted,Undrafted,N
Daniel Anderson,Daniel,Anderson,0,76036,1951-01-01,Southern California,USA,Southern California/USA,"6,2",18.5,2,33,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,1974,1975,N,Y,Y,1974,6,92,N
Derek Anderson,Derek,Anderson,0,1507,1974-07-18,Kentucky,USA,Kentucky/USA,"6,5",19.5,12,1,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,1997,2007,N,Y,Y,1997,1,13,N
Dwight Anderson,Dwight,Anderson,0,76037,1960-12-28,Southern California,USA,Southern California/USA,"6,3",18.5,1,20,Guard,Inactive,1610612743,Nuggets,DEN,Denver,1982,1982,N,Y,Y,1982,2,41,N
Eric Anderson,Eric,Anderson,0,944,1970-05-26,Indiana,USA,Indiana/USA,"6,9",22.0,2,42,Forward,Inactive,1610612752,Knicks,NYK,New York,1992,1993,N,Y,Y,1988,Undrafted,Undrafted,N
Greg Anderson,Greg,Anderson,0,246,1964-06-22,Houston,USA,Houston/USA,"6,10",25.0,10,0,Center-Forward,Inactive,1610612759,Spurs,SAS,San Antonio,1987,1997,N,Y,Y,1987,1,23,N
James Anderson,James,Anderson,0,202341,1989-03-25,Oklahoma State,USA,Oklahoma State/USA,"6,6",21.3,6,5,Guard-Forward,Inactive,1610612759,Spurs,SAS,San Antonio,2010,2015,Y,Y,Y,2010,1,20,N
Jerome Anderson,Jerome,Anderson,0,76040,1953-10-09,West Virginia,USA,West Virginia/USA,"6,5",19.5,2,21-23,Guard,Inactive,1610612754,Pacers,IND,Indiana,1975,1976,N,Y,Y,1975,3,53,N
Justin Anderson,Justin,Anderson,0,1626147,1993-11-19,Virginia,USA,Virginia/USA,"6,5",23.1,7,Desconocido,Forward-Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2015,2021,Y,Y,Y,2015,1,21,N
Kenny Anderson,Kenny,Anderson,0,72,1970-10-09,Georgia Tech,USA,Georgia Tech/USA,"6,1",16.8,14,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,1991,2004,N,Y,Y,1991,1,2,N
Kim Anderson,Kim,Anderson,0,76041,1955-05-12,Missouri,USA,Missouri/USA,"6,7",20.0,1,42,Forward,Inactive,1610612757,Trail Blazers,POR,Portland,1978,1978,N,Y,Y,1978,7,146,N
Kyle Anderson,Kyle,Anderson,1,203937,1993-09-20,UCLA,USA,UCLA/USA,"6,9",23.0,9,5,Forward-Guard,Active,1610612750,Timberwolves,MIN,Minnesota,2014,2023,Y,Y,Y,2014,1,30,N
Michael Anderson,Michael,Anderson,0,76042,1966-03-23,Drexel,USA,Drexel/USA,"5,11",18.4,1,10,Guard,Inactive,1610612759,Spurs,SAS,San Antonio,1988,1988,N,Y,Y,1988,3,73,N
Mitchell Anderson,Mitchell,Anderson,0,76043,1960-09-23,Bradley,USA,Bradley/USA,"6,8",19.5,3,11,Forward,Inactive,1610612762,Jazz,UTA,Utah,1982,1984,N,Y,Y,1982,2,36,N
Nick Anderson,Nick,Anderson,0,98,1968-01-20,Illinois,USA,Illinois/USA,"6,6",22.8,14,5,Forward-Guard,Inactive,1610612753,Magic,ORL,Orlando,1989,2002,N,Y,Y,1989,1,11,N
Richard Anderson,Richard,Anderson,0,76045,1960-11-19,California-Santa Barbara,USA,California-Santa Barbara/USA,"6,10",24.0,6,35,Forward,Inactive,1610612757,Trail Blazers,POR,Portland,1982,1989,N,Y,Y,1982,2,32,N
Ron Anderson,Ron,Anderson,0,76046,1958-10-15,Fresno State,USA,Fresno State/USA,"6,7",21.5,10,35,Forward,Inactive,1610612755,76ers,PHI,Philadelphia,1984,1993,N,Y,Y,1984,2,27,N
Ryan Anderson,Ryan,Anderson,0,201583,1988-05-06,California,USA,California/USA,"6,9",24.0,12,Desconocido,Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2008,2019,N,Y,Y,2008,1,21,N
Shandon Anderson,Shandon,Anderson,0,1000,1973-12-31,Georgia,USA,Georgia/USA,"6,6",21.5,10,49,Guard-Forward,Inactive,1610612752,Knicks,NYK,New York,1996,2005,N,Y,Y,1996,2,54,N
Willie Anderson,Willie,Anderson,0,335,1967-01-08,Georgia,USA,Georgia/USA,"6,8",20.0,8,35,Guard-Forward,Inactive,1610612759,Spurs,SAS,San Antonio,1988,1996,N,Y,Y,1988,1,10,N
Martynas Andriuskevicius,Martynas,Andriuskevicius,0,101149,1986-03-12,Zalgiris,Lithuania,Zalgiris/Lithuania,"7,2",24.0,2,15,Center,Inactive,1610612739,Cavaliers,CLE,Cleveland,2005,2006,Y,Y,Y,2005,2,44,N
Don Anielak,Don,Anielak,0,76049,1930-11-01,Missouri State,USA,Missouri State/USA,"6,7",19.0,1,12,Forward,Inactive,1610612752,Knicks,NYK,New York,1954,1954,N,Y,Y,1954,3,26,N
Ike Anigbogu,Ike,Anigbogu,0,1628387,1998-10-16,UCLA,USA,UCLA/USA,"6,10",25.0,3,Desconocido,Center,Inactive,0,Desconocido,Desconocido,Desconocido,2017,2018,Y,Y,Y,2017,2,47,N
Michael Ansley,Michael,Ansley,0,76050,1967-02-08,Alabama,USA,Alabama/USA,"6,7",22.5,3,54,Forward,Inactive,1610612753,Magic,ORL,Orlando,1989,1991,N,Y,Y,1989,2,37,N
Chris Anstey,Chris,Anstey,0,1512,1975-01-01,South East Melbourne,Australia,South East Melbourne/Australia,"7,0",24.9,2,22,Center,Inactive,1610612742,Mavericks,DAL,Dallas,1997,1999,N,Y,Y,1997,1,18,N
Giannis Antetokounmpo,Giannis,Antetokounmpo,1,203507,1994-12-06,Filathlitikos,Greece,Filathlitikos/Greece,"7,0",24.3,10,34,Forward,Active,1610612749,Bucks,MIL,Milwaukee,2013,2023,N,Y,Y,2013,1,15,Y
Kostas Antetokounmpo,Kostas,Antetokounmpo,1,1628961,1997-11-20,University of Dayton,Greece,Dayton/Greece,"6,10",20.0,4,37,Forward,Inactive,1610612747,Lakers,LAL,Los Angeles,2018,2020,Y,Y,Y,2018,2,60,N
Thanasis Antetokounmpo,Thanasis,Antetokounmpo,1,203648,1992-07-18,Panathinaikos,Greece,Panathinaikos/Greece,"6,7",21.9,5,43,Forward,Active,1610612749,Bucks,MIL,Milwaukee,2015,2023,Y,Y,Y,2014,2,51,N
Carmelo Anthony,Carmelo,Anthony,0,2546,1984-05-29,Syracuse,USA,Syracuse/USA,"6,7",23.8,20,7,Forward,Inactive,1610612747,Lakers,LAL,Los Angeles,2003,2021,N,Y,Y,2003,1,3,Y
Cole Anthony,Cole,Anthony,1,1630175,2000-05-15,North Carolina,USA,North Carolina/USA,"6,3",18.5,3,50,Guard,Active,1610612753,Magic,ORL,Orlando,2020,2023,N,Y,Y,2020,1,15,N
Greg Anthony,Greg,Anthony,0,21,1967-11-15,UNLV,USA,UNLV/USA,"6,1",18.0,11,50,Guard,Inactive,1610612752,Knicks,NYK,New York,1991,2001,N,Y,Y,1991,1,12,N
Joel Anthony,Joel,Anthony,0,201202,1982-08-09,UNLV,Canada,UNLV/Canada,"6,9",24.5,11,30,Center,Inactive,1610612748,Heat,MIA,Miami,2007,2016,Y,Y,Y,1988,Undrafted,Undrafted,N
Pero Antic,Pero,Antic,0,203544,1982-07-29,Olympiacos,Macedonia,Olympiacos/Macedonia,"6,11",26.0,2,6,Forward-Center,Inactive,1610612737,Hawks,ATL,Atlanta,2013,2014,N,Y,Y,1988,Undrafted,Undrafted,N
O.G. Anunoby,O.G.,Anunoby,1,1628384,1997-07-17,Indiana,United Kingdom,Indiana/United Kingdom,"6,7",23.2,6,3,Forward,Active,1610612761,Raptors,TOR,Toronto,2017,2023,N,Y,Y,2017,1,23,N
Rafael Araujo,Rafael,Araujo,0,2737,1980-08-12,Brigham Young,Brazil,Brigham Young/Brazil,"6,11",27.0,4,55,Center,Inactive,1610612761,Raptors,TOR,Toronto,2004,2006,N,Y,Y,2004,1,8,N
Stacey Arceneaux,Stacey,Arceneaux,0,76053,1936-02-17,Iowa State,USA,Iowa State/USA,"6,4",21.0,1,Desconocido,Forward,Inactive,1610612737,Hawks,STL,St. Louis,1961,1961,N,Y,Y,1988,Undrafted,Undrafted,N
Nate Archibald,Nate,Archibald,0,76054,1948-09-02,Texas-El Paso,USA,Texas-El Paso/USA,"6,1",15.0,13,1,Guard,Inactive,1610612758,Kings,KCK,Kansas City,1970,1983,N,Y,Y,1970,2,19,Y
Robert Archibald,Robert,Archibald,0,2425,1980-03-29,Illinois,Scotland,Illinois/Scotland,"6,11",25.0,3,34,Forward,Inactive,1610612761,Raptors,TOR,Toronto,2002,2003,N,Y,Y,2002,2,31,N
Ryan Arcidiacono,Ryan,Arcidiacono,1,1627853,1994-03-26,Villanova,USA,Villanova/USA,"6,3",19.5,6,Desconocido,Guard,Inactive,0,Desconocido,Desconocido,Desconocido,2017,2022,Y,Y,Y,1988,Undrafted,Undrafted,N
Jim Ard,Jim,Ard,0,76055,1948-09-19,Cincinnati,USA,Cincinnati/USA,"6,9",21.5,4,34,Center,Inactive,1610612738,Celtics,BOS,Boston,1974,1977,N,Y,Y,1970,1,6,N
Gilbert Arenas,Gilbert,Arenas,0,2240,1982-01-06,Arizona,USA,Arizona/USA,"6,4",21.5,12,10,Guard,Inactive,1610612764,Wizards,WAS,Washington,2001,2011,N,Y,Y,2001,2,30,N
Trevor Ariza,Trevor,Ariza,0,2772,1985-06-30,UCLA,USA,UCLA/USA,"6,8",21.5,18,Desconocido,Forward,Inactive,0,Desconocido,Desconocido,Desconocido,2004,2021,N,Y,Y,2004,2,43,N
Paul Arizin,Paul,Arizin,0,76056,1928-04-09,Villanova,USA,Villanova/USA,"6,4",19.0,10,11,Forward,Inactive,1610612744,Warriors,PHW,Philadelphia,1950,1961,N,Y,Y,1950,Desconocido,Desconocido,Y
Joe Arlauckas,Joe,Arlauckas,0,76057,1965-07-20,Niagara,USA,Niagara/USA,"6,9",23.0,1,53,Forward,Inactive,1610612758,Kings,SAC,Sacramento,1987,1987,N,Y,Y,1987,4,74,N
B.J. Armstrong,B.J.,Armstrong,0,769,1967-09-09,Iowa,USA,Iowa/USA,"6,2",18.5,11,11,Guard,Inactive,1610612741,Bulls,CHI,Chicago,1989,1999,N,Y,Y,1989,1,18,N
